Start
DA Warner,3234851613.825452327728.
AL Menaria,322648567.903241217136.
OA Shah,320634267.712433755398.
P Kumar,312866888.097287535667.
SB Styris,307366043.710917770863.
CA Pujara,306360530.668848752975.
R McLaren,305818657.239466547966.
B Chipli,292139233.402044832706.
SA Asnodkar,287633608.397186040878.
RR Pant,282380895.994556665421.
SS Iyer,281702180.989599883556.
SA Yadav,277192518.721828401089.
KM Jadhav,268212441.165347516537.
M Vohra,263876330.190707147121.
SK Warne,261270911.240010648966.
MA Agarwal,257940834.616445034742.
LMP Simmons,253877608.704803079367.
AR Patel,241052615.272093296051.
DT Christian,229656397.070580661297.
RE van der Merwe,226180150.462017744780.
Shakib Al Hasan,226168521.973316341639.
GJ Bailey,222284134.164675801992.
MD Mishra,221271808.911093711853.
LA Carseldine,214303365.502635270357.
E Lewis,210768929.378487646580.
KL Rahul,201620201.875466734171.
J Botha,199134917.982782691717.
N Rana,194063270.857142269611.
STR Binny,193120392.851406604052.
DB Das,191133558.476407766342.
VVS Laxman,189137217.682986855507.
WA Mota,183844008.661563366652.
FY Fazal,181359917.639265149832.
K Goel,178293756.865330904722.
MN Samuels,175958204.428594589233.
JR Hopes,171793054.803067982197.
M Kaif,169054756.882110506296.
R Bhatia,163883277.884345620871.
KS Williamson,162846495.699021428823.
LR Shukla,161526926.176438987255.
S Sohal,157846672.234193950891.
PC Valthaty,155024662.044510275126.
JC Buttler,154750229.428157508373.
Y Nagar,151292686.760841369629.
Gurkeerat Singh,147156532.504877954721.
A Chopra,146890686.929656296968.
GH Vihari,144939906.555543333292.
R Vinay Kumar,143337497.874682217836.
DJM Short,141714292.108095377684.
BA Stokes,140914859.824207931757.
Azhar Mahmood,135829833.280176222324.
HM Amla,132813465.113981410861.
JEC Franklin,129115687.134827807546.
AA Bilakhia,128646320.963434338570.
AA Jhunjhunwala,121561737.348485156894.
SM Katich,121101770.205603569746.
DJG Sammy,116529724.579495906830.
HH Pandya,114810892.668245971203.
PA Reddy,112117696.272595226765.
R Dhawan,111050681.117547839880.
AB Agarkar,107255866.742928028107.
RJ Quiney,104399570.670996144414.
RN ten Doeschate,102202526.807840362191.
P Negi,101884645.485721066594.
KV Sharma,100376131.687065258622.
CA Lynn,98956813.312262892723.
BJ Rohrer,97833257.607914850116.
CA Ingram,97429397.474878728390.
R Sathish,97189739.375706210732.
MC Juneja,95073688.988825619221.
S Anirudha,92587343.130516156554.
JDP Oram,91380969.817488014698.
MF Maharoof,91009702.475103616714.
AD Russell,86864689.972970679402.
AS Raut,85920285.246969461441.
Ishan Kishan,79725926.502119302750.
MJ Clarke,79474564.956721410155.
DL Vettori,78707063.907607436180.
SP Narine,78649401.010791137815.
MR Marsh,74295615.693388432264.
MP Stoinis,73427937.012449249625.
MN van Wyk,72008263.156072869897.
LA Pomersbach,71660021.186138316989.
KH Pandya,71294910.362436637282.
W Jaffer,70498819.564971029758.
RT Ponting,70208183.332685828209.
DJ Hooda,67908602.589856058359.
AN Ahmed,67320543.777910307050.
AC Voges,66598474.195808365941.
MJ Lumb,64477821.425792716444.
AS Yadav,64344435.350460171700.
V Shankar,60950853.453037656844.
NLTC Perera,60765757.005448408425.
Salman Butt,59934757.235973447561.
TM Head,59859955.930995963514.
DW Steyn,58554741.665193773806.
UBT Chand,56114331.445071168244.
AB McDonald,56006893.990995056927.
SN Khan,55095196.460091985762.
AP Tare,54818547.358332760632.
B Kumar,54812237.755482308567.
CH Morris,54654183.147349372506.
DP Nannes,53855374.115495614707.
PJ Sangwan,53855374.115495614707.
RA Tripathi,53000358.982965208590.
RJ Harris,52481526.806502692401.
UT Yadav,51271061.047213301063.
Shubman Gill,48498242.964004695415.
WPUJC Vaas,46461940.499641060829.
JP Faulkner,44805566.035787433386.
NS Naik,44726343.969379968941.
M Klinger,44722372.635035946965.
AB Barath,42877914.809557080269.
Niraj Patel,42258247.967210583389.
K Rabada,41585267.337138526142.
SW Billings,39881476.628371603787.
CR Brathwaite,39326932.084954366088.
PV Tambe,39079596.741477780044.
MM Sharma,38632106.878082409501.
GR Napier,37909911.791244708002.
A Ashish Reddy,37549529.454947255552.
SD Chitnis,34472347.754063084722.
JDS Neesham,34397690.430821970105.
IR Jaggi,34116972.406277321279.
DH Yagnik,33834492.903431281447.
DS Kulkarni,33825099.679053239524.
BB Samantray,33540960.965054791421.
Ankit Sharma,33329848.300626337528.
