TG Southee,0.5085851421272013.
DJ Jacobs,0.508313703927843.
TD Paine,0.5080258926074266.
Y Gnaneswara Rao,0.5077452184867443.
JD Unadkat,0.5076181728135258.
SB Jakati,0.5075490581059084.
AG Paunikar,0.5074625658365116.
MS Gony,0.507453628540892.
CR Woakes,0.5072596668915546.
C Madan,0.5071561553216681.
BCJ Cutting,0.5070093331739219.
CK Kapugedera,0.5070093331739219.
Harpreet Singh,0.5070093331739219.
M Ntini,0.5070093331739219.
S Chanderpaul,0.5070093331739219.
Mohammed Shami,0.5064295891463391.
VR Aaron,0.5061706821313068.
RV Gomez,0.5061033742779868.
A Kumble,0.5059762664404766.
A Nehra,0.5059762664404766.
CJ McKay,0.5059762664404766.
DS Lehmann,0.5059762664404766.
Pankaj Singh,0.5059762664404766.
AA Noffke,0.5056838913991414.
S Narwal,0.5056774880533826.
DT Patil,0.5055823891515212.
SB Joshi,0.5055823891515212.
RR Sarwan,0.5055821687364791.
D Salunkhe,0.5055704951996095.
A Mithun,0.505525441505768.
JO Holder,0.5054515764638772.
X Thalaivan Sargunam,0.5054515764638772.
Abhishek Sharma,0.5053373726750815.
MM Patel,0.5052878320719609.
SK Trivedi,0.5052380450704458.
AF Milne,0.5049446244194402.
NM Coulter-Nile,0.5043854105355037.
Imran Tahir,0.5043411755023854.
B Sumanth,0.5040325010755204.
PJ Cummins,0.5037276939179306.
SB Bangar,0.5034995999686502.
A Zampa,0.5034312352430408.
DAJ Bracewell,0.5033364931302117.
S Rana,0.5033364931302117.
MJ McClenaghan,0.5032790476771855.
MK Lomror,0.5032790476771855.
T Henderson,0.5031763187301145.
S Badree,0.5031335656633241.
M Rawat,0.5030682180053883.
Shoaib Malik,0.5030008019291029.
ER Dwivedi,0.5028321002924573.
JM Kemp,0.5027933300316262.
J Arunkumar,0.5027907601820394.
AJ Tye,0.5025185672410692.
J Syed Mohammad,0.5025185672410692.
PP Ojha,0.5025185672410692.
B Akhil,0.5025065098790819.
RP Singh,0.5025065098790819.
Joginder Sharma,0.5024058500063646.
AB Dinda,0.5022612260339476.
B Laughlin,0.5022612260339476.
