Start
Read
Begin
DA Warner,3227931031.394337177277.
Harbhajan Singh,336702411.009805679321.
GC Smith,334682836.454153060913.
Q de Kock,333076792.944242537022.
GJ Maxwell,330127642.430106222630.
CJ Anderson,322896198.614397227764.
AL Menaria,321982286.942512452602.
OA Shah,319995164.531142592430.
P Kumar,312244143.577231645584.
SB Styris,306753904.307142317295.
CA Pujara,305760067.058173894882.
R McLaren,305225313.491390407085.
B Chipli,291552161.311140477657.
SA Asnodkar,287072576.917155444622.
RR Pant,281753824.073246955872.
SS Iyer,281076911.068312406540.
SA Yadav,276608289.068220853806.
KM Jadhav,267667698.570965439081.
M Vohra,263324960.437009215355.
SK Warne,260751581.825486689806.
MA Agarwal,257397210.360006302595.
LMP Simmons,253341142.016951531172.
AR Patel,240547307.429917871952.
DT Christian,229189697.205580413342.
RE van der Merwe,225766875.484386354685.
Shakib Al Hasan,225675433.256685256958.
GJ Bailey,221837172.233347743750.
MD Mishra,220807142.955654978752.
LA Carseldine,213834969.400214433670.
E Lewis,210310383.385042577982.
KL Rahul,201190469.400048881769.
J Botha,198724740.333700984716.
N Rana,193643174.562840074301.
STR Binny,192711382.761136323214.
DB Das,190729060.065205335617.
VVS Laxman,188747990.491994351149.
WA Mota,183457571.602675855160.
FY Fazal,181019642.642562717199.
K Goel,177939077.957978665829.
MN Samuels,175582719.026075482368.
JR Hopes,171428996.489650219679.
M Kaif,168743963.323712736368.
R Bhatia,163555370.076855748892.
KS Williamson,162501410.221266001463.
LR Shukla,161197959.575511813164.
S Sohal,157540604.687780171633.
PC Valthaty,154704729.772361308336.
JC Buttler,154406396.347639054060.
Y Nagar,150974836.668971955776.
Gurkeerat Singh,146846838.534257620573.
A Chopra,146579746.452602684498.
GH Vihari,144638111.797151714563.
R Vinay Kumar,143025890.920438885689.
DJM Short,141400848.052999287844.
BA Stokes,140611809.766627609730.
Azhar Mahmood,135545293.641766637564.
HM Amla,132529780.357145607471.
JEC Franklin,128850845.845912471414.
AA Bilakhia,128385915.860057651997.
AA Jhunjhunwala,121313659.856950581074.
SM Katich,120893600.431574806571.
DJG Sammy,116279925.834920793772.
HH Pandya,114566260.744768828154.
PA Reddy,111886189.587485909462.
R Dhawan,110839387.024237766862.
AB Agarkar,107027547.577680721879.
RJ Quiney,104184889.065362796187.
RN ten Doeschate,101993761.720162808895.
P Negi,101670533.419129729271.
KV Sharma,100163165.069821447134.
CA Lynn,98747033.754117801785.
BJ Rohrer,97629615.153734147549.
CA Ingram,97247282.248090505600.
R Sathish,96987894.416319847107.
MC Juneja,94889017.722584709525.
S Anirudha,92391369.149557948112.
JDP Oram,91197260.420373871922.
MF Maharoof,90819490.384000390768.
AD Russell,86673425.836557403207.
AS Raut,85742786.951345592737.
Ishan Kishan,79558975.334515854716.
MJ Clarke,79307559.440712124109.
DL Vettori,78539479.146064728498.
